transaction_id,customer_id,product,amount,order_timestamp,recorded_at
8113,311,Phone Case,21,2026-05-03 16:45,2026-05-03 16:48
8118,318,Webcam,79,2026-05-05 10:23,2026-05-05 10:25
8107,316,Yoga Mat,29,2026-05-02 20:33,2026-05-02 20:35
8137,302,Webcam,79,2026-05-16 23:36,2026-05-16 23:38
8133,304,Office Chair,230,2026-05-14 14:20,2026-05-14 14:22
8169,322,Desk Lamp,38,2026-05-27 04:40,2026-05-27 04:41
8123,319,Phone Case,30,2026-05-09 10:12,2026-05-09 16:13
8110,317,USB-C Cable,12,2026-05-03 03:42,2026-05-03 03:43
8109,304,Kindle Paperwhite,140,2026-05-02 23:09,2026-05-02 23:12
8148,322,Phone Case,21,2026-05-20 23:38,2026-05-20 23:40
8146,314,Desk Lamp,38,2026-05-20 13:21,2026-05-20 13:22
8163,315,Coffee Grinder,88,2026-05-26 00:29,2026-05-26 00:31
8153,306,Water Bottle,18,2026-05-22 06:58,2026-05-22 07:00
8154,321,Coffee Grinder,88,2026-05-22 17:59,2026-05-22 18:01
8135,309,Kindle Paperwhite,140,2026-05-15 18:25,2026-05-15 18:26
8136,318,Backpack,55,2026-05-16 13:09,2026-05-16 13:12
8124,309,USB-C Cable,12,2026-05-10 00:25,2026-05-10 00:28
8158,316,USB-C Cable,12,2026-05-24 05:13,2026-05-24 05:15
8114,306,Water Bottle,18,2026-05-03 18:55,2026-05-03 18:56
8160,320,USB-C Cable,12,2026-05-24 16:55,2026-05-24 16:58
8132,310,Phone Case,21,2026-05-13 12:23,2026-05-13 12:26
8165,302,Coffee Grinder,88,2026-05-26 05:31,2026-05-26 05:33
8171,305,Wireless Mouse,25,2026-05-28 09:34,2026-05-28 09:35
8126,302,Yoga Mat,29,2026-05-11 21:57,2026-05-11 21:59
8168,322,Phone Case,21,2026-05-27 03:52,2026-05-27 03:55
8159,312,Desk Lamp,38,2026-05-24 06:38,2026-05-24 06:41
8117,303,Wireless Mouse,25,2026-05-05 10:07,2026-05-05 10:10
8128,312,Office Chair,230,2026-05-13 03:34,2026-05-13 03:35
8136,318,Backpack,55,2026-05-16 13:09,2026-05-16 13:12
8105,307,Phone Case,21,2026-05-02 14:01,2026-05-02 14:02
8174,305,Office Chair,230,2026-05-28 20:50,2026-05-28 20:51
8112,322,Phone Case,21,2026-05-03 10:42,2026-05-03 10:45
8176,301,Echo Dot,50,2026-05-22 12:29,2026-05-22 12:31
8150,324,Bluetooth Speaker,65,2026-05-21 20:25,2026-05-21 20:26
8162,322,Webcam,79,2026-05-25 11:07,2026-05-25 11:08
8149,303,Echo Dot,50,2026-05-21 10:08,2026-05-21 10:10
8151,312,Laptop Stand,42,2026-05-21 21:25,2026-05-21 21:28
8156,307,Water Bottle,18,2026-05-23 03:58,2026-05-23 03:59
8119,320,Wireless Mouse,25,2026-05-05 10:49,2026-05-05 10:50
8110,317,USB-C Cable,12,2026-05-03 03:42,2026-05-03 03:43
8175,319,Bluetooth Speaker,65,2026-05-18 18:19,2026-05-18 18:23
8129,304,Desk Lamp,38,2026-05-13 03:56,2026-05-13 03:59
8167,303,Water Bottle,18,2026-05-26 22:58,2026-05-26 22:59
8172,306,Backpack,55,2026-05-28 16:21,2026-05-28 16:24
8131,301,Echo Dot,50,2026-05-13 09:29,2026-05-13 09:30
8170,313,Office Chair,230,2026-05-27 15:39,2026-05-27 15:42
8138,316,Echo Dot,50,2026-05-17 03:43,2026-05-17 03:44
8116,306,Coffee Grinder,88,2026-05-05 01:45,2026-05-05 01:48
8155,320,HDMI Cable,14,2026-05-22 22:23,2026-05-22 22:25
8144,317,Kindle Paperwhite,140,2026-05-19 19:52,2026-05-19 19:53
8108,303,Webcam,79,2026-05-02 22:50,2026-05-02 22:53
8162,322,Webcam,79,2026-05-25 11:07,2026-05-25 11:08
8143,307,USB-C Cable,12,2026-05-19 19:47,2026-05-19 19:49
8130,308,Desk Lamp,38,2026-05-13 08:34,2026-05-13 08:37
8134,314,Office Chair,230,2026-05-15 12:29,2026-05-15 12:32
8147,324,Desk Lamp,38,2026-05-20 23:01,2026-05-20 23:03
8141,308,Bluetooth Speaker,65,2026-05-19 15:42,2026-05-19 15:45
8106,304,Yoga Mat,29,2026-05-02 20:17,2026-05-02 20:18
8166,316,Kindle Paperwhite,140,2026-05-26 20:48,2026-05-26 20:51
8152,301,Water Bottle,18,2026-05-21 23:45,2026-05-21 23:46
8102,318,Water Bottle,18,2026-05-01 10:09,2026-05-01 10:11
8161,301,Water Bottle,18,2026-05-24 18:18,2026-05-24 18:21
8164,324,Water Bottle,18,2026-05-26 02:44,2026-05-26 02:47
8103,311,Backpack,55,2026-05-01 22:03,2026-05-01 22:04
8123,319,Phone Case,21,2026-05-09 10:12,2026-05-09 10:13
8127,305,Bluetooth Speaker,65,2026-05-12 20:19,2026-05-12 20:20
8115,306,Coffee Grinder,88,2026-05-05 00:42,2026-05-05 00:44
8140,319,Bluetooth Speaker,65,2026-05-18 18:19,2026-05-18 18:22
8145,308,Wireless Mouse,25,2026-05-20 12:30,2026-05-20 12:33
8121,318,USB-C Cable,12,2026-05-08 20:54,2026-05-08 20:55
8139,302,HDMI Cable,14,2026-05-18 06:48,2026-05-18 06:51
8157,305,Desk Lamp,33,2026-05-23 14:38,2026-05-23 20:41
8111,317,Desk Lamp,38,2026-05-03 09:12,2026-05-03 09:13
8142,301,Desk Lamp,38,2026-05-19 16:34,2026-05-19 16:35
8120,312,Backpack,55,2026-05-07 23:27,2026-05-07 23:30
8122,311,Desk Lamp,38,2026-05-09 04:14,2026-05-09 04:16
8101,301,Bluetooth Speaker,65,2026-05-01 06:14,2026-05-01 06:17
8173,315,Office Chair,230,2026-05-28 19:56,2026-05-28 19:58
8157,305,Desk Lamp,38,2026-05-23 14:38,2026-05-23 14:41
8104,317,Backpack,55,2026-05-02 00:31,2026-05-02 00:33
8125,312,Wireless Mouse,25,2026-05-10 10:21,2026-05-10 10:24
